name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url,2025_value
ParlAI,Meta,https://parl.ai/,logos/0fd85ffd8df76e3a4ece780593d9f95b8c193bf33cf97c16955e93ca59b757fd.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,MIT License,"Menlo Park, California, United States",A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Language,True,https://github.com/facebookresearch/ParlAI,10621.0,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,2023-11-03,https://github.com/facebookresearch/ParlAI/commit/6c802418e93a51cbb746b011439ab783dd136de8,2023-06-06,https://github.com/facebookresearch/ParlAI/releases/tag/1.7.2,2017-05-01,https://github.com/facebookresearch/ParlAI/commit/e9e69f6256c11ffc8b6233f023393a4a8d5adf9c,218.0,https://github.com/facebookresearch/ParlAI/graphs/contributors,,,,,,,,,,,,,
PennyLane,IonQ,https://pennylane.ai/,logos/2d8e7a169283e296f1d72aad881717481147608ecb440ecb9b92b3c078ce197f.svg,https://x.com/IonQ_Inc,https://www.crunchbase.com/organization/ionq-inc,1804600000.0,,,,Apache License 2.0,"College Park, Maryland, United States","PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Train a quantum computer the same way as a neural network.",IONQ offers enterprise-grade quantum systems designed for businesses seeking to harness the power of quantum computing in their operations.,https://ionq.com,College Park,Maryland,United States,https://x.com/IonQ_Inc,https://www.linkedin.com/company/ionq.co,DMYT,funding,251.0,500.0,Modeling,Quantum,True,https://github.com/PennyLaneAI/pennylane,2815.0,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Built by researchers, for research. ",2025-09-19,https://github.com/PennyLaneAI/pennylane/commit/036f246e59e2f865fc93b62d86093d78bcaccd77,2025-08-20,https://github.com/PennyLaneAI/pennylane/releases/tag/v0.42.3,2018-04-17,https://github.com/PennyLaneAI/pennylane/commit/cad1b4fb5012d5adad65545fade091cefd32821c,207.0,https://github.com/PennyLaneAI/pennylane/graphs/contributors,,,,,,,,,,,,,977.35
PFRL,Preferred Networks,https://github.com/pfnet/pfrl,logos/e207d794eaca709d5667f9e92cefba0497d2124c413b11e863c1246dc2307b89.svg,https://x.com/preferrednet,https://www.crunchbase.com/organization/preferred-networks,349989235.0,,archived,,MIT License,"Otemachi, Tokyo, Japan",PFRL is a PyTorch-based deep reinforcement learning library,"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.",https://www.preferred.jp,Otemachi,Tokyo,Japan,https://x.com/preferrednet,https://www.linkedin.com/company/preferred-networks,,funding,251.0,500.0,Training,Reinforcement Learning,True,https://github.com/pfnet/pfrl,1246.0,PFRL: a PyTorch-based deep reinforcement learning library,2024-08-04,https://github.com/pfnet/pfrl/commit/c8cb3328899509be9ca68ca9a6cd2bcfce95725c,2023-07-16,https://github.com/pfnet/pfrl/releases/tag/v0.4.0,2020-06-25,https://github.com/pfnet/pfrl/commit/a0ad6a7cd128e75334a359d7e5c54eddf32a2f7f,20.0,https://github.com/pfnet/pfrl/graphs/contributors,,,,,,,,,,,,,0.45999999999999996
Polyaxon,Polyaxon,https://polyaxon.com/,logos/c8eb66406bda3aeb5e725039da192ab06ab57b2fa394f0a8ea06e57997fc48c4.svg,,https://www.crunchbase.com/organization/polyaxon,,,archived,,Apache License 2.0,"Berlin, Berlin, Germany",MLOps Tools For Managing & Orchestrating The Machine Learning LifeCycle,An open source platform for reproducible machine learning at scale.,https://polyaxon.com,Berlin,Berlin,Germany,,https://www.linkedin.com/company/polyaxon,,,1.0,10.0,Optimizations,MLOps,True,https://github.com/polyaxon/polyaxon,3676.0,MLOps Tools For Managing & Orchestrating The Machine Learning LifeCycle,2025-09-13,https://github.com/polyaxon/polyaxon/commit/4eadcfb7253ae8d47a69935887b70f2f8791b5bc,,,2016-03-25,https://github.com/polyaxon/polyaxon/commit/ac5f19ed92d80e633aebce219fc56bd4b6e16921,98.0,https://github.com/polyaxon/polyaxon/graphs/contributors,,,,,,,,,,,,,1.03
Pomegranate,Research Institute of Molecular Pathology,https://pomegranate.readthedocs.io/en/latest/,logos/ebf8effc430934c78a17464087fe36856c0dfe2c390f3e278beac637efb264e0.svg,https://twitter.com/research_imp,https://www.crunchbase.com/organization/research-institute-of-molecular-pathology,,,,,MIT License,"Vienna, Wien, Austria",pomegranate is a Python package that implements fast and flexible probabilistic models ranging from individual probability distributions to compositional models such as Bayesian networks and hidden Markov models,The Research Institute of Molecular Pathology in Vienna is a basic biomedical research institute largely sponsored by Boehringer Ingelheim.,https://www.imp.ac.at,Vienna,Wien,Austria,https://twitter.com/research_imp,https://www.linkedin.com/company/599980/,,,251.0,500.0,Training,Probabilistic & Optimization,True,https://github.com/jmschrei/pomegranate,3477.0,"Fast, flexible and easy to use probabilistic modelling in Python.",2025-02-07,https://github.com/jmschrei/pomegranate/commit/e9162731f4f109b7b17ecffde768734cacdb839b,2024-07-11,https://github.com/jmschrei/pomegranate/releases/tag/v1.1.0,2014-11-24,https://github.com/jmschrei/pomegranate/commit/e9d7596ce3264e340272acebb223e37cdeea1c23,75.0,https://github.com/jmschrei/pomegranate/graphs/contributors,,,,,,,,,,,,,9.489999999999998
PopTorch,Graphcore,https://docs.graphcore.ai/projects/poptorch-user-guide/en/latest/,logos/941ac64f6b2ec287a2dfc558c637747c9af0d2acdcf5e6148bdbfc5e2f8a81d5.svg,https://twitter.com/graphcoreai,https://www.crunchbase.com/organization/graphcore,682000000.0,General,member,,MIT License,"Bristol, Bristol, City of, United Kingdom","PopTorch is a set of extensions for PyTorch enabling models to be trained, evaluated and used on the Graphcore IPU.",Graphcore develops a microprocessor designed for AI and machine learning applications.,https://www.graphcore.ai/,Bristol,"Bristol, City of",United Kingdom,https://twitter.com/graphcoreai,https://www.linkedin.com/company/graphcore/,,funding,501.0,1000.0,Optimizations,Compilers & Runtimes,True,https://github.com/graphcore/poptorch,181.0,PyTorch interface for the IPU,2023-09-29,https://github.com/graphcore/poptorch/commit/c2a8b17762f1d7106f7bf048ff011ab4fee7685e,2023-10-12,https://github.com/graphcore/poptorch/releases/tag/sdk/poptorch/3.4.0,2020-02-17,https://github.com/graphcore/poptorch/commit/2dd7fba443e5ba31bdb95e5058527be6ae593aac,80.0,https://github.com/graphcore/poptorch/graphs/contributors,,,,,,,,,,,,,
Poutyne,GRAAL,https://poutyne.org/,logos/a291fe1f4346bc027619c3baebe8eccb7043cece79f64e2582a80056699faa44.svg,,https://www.crunchbase.com/organization/graal-0644,,,archived,,GNU Lesser General Public License v3.0,"Quebec, Quebec, Canada",Poutyne is a simplified framework for PyTorch and handles much of the boilerplating code needed to train neural networks.,"GRAAL specializes in machine learning, big data, bioinformatics, natural language processing, and artificial intelligence services.",https://graal.ift.ulaval.ca/,Quebec,Quebec,Canada,,https://www.linkedin.com/company/universite-laval,,,11.0,50.0,Training,General,True,https://github.com/GRAAL-Research/poutyne,576.0,A simplified framework and utilities for PyTorch,2025-05-05,https://github.com/GRAAL-Research/poutyne/commit/faa19522242e38475ac71b60c7e968bd4476dc76,2025-05-05,https://github.com/GRAAL-Research/poutyne/releases/tag/v1.17.4,2017-12-07,https://github.com/GRAAL-Research/poutyne/commit/84bd064a862375283143555ab8d639786974ac0e,23.0,https://github.com/GRAAL-Research/poutyne/graphs/contributors,,,,,,,,,,,,,2.09
"PROM, IIT Rajasthan (member)","Indian Institute of Technology, Jodhpur",https://iitj.ac.in/,logos/f57ea21d70d487e49bdb72d15e620e3d4a788845dda033b8b945a00aa564d298.svg,https://www.twitter.com/abhishekiitj,https://www.crunchbase.com/organization/indian-institute-of-technology-jodhpur,,Associate,member,,,"Jodhpur, Rajasthan, India","IIT Jodhpur is an educational institution that aims to develop long-term relationships with firms in the domains of knowledge, innovation, and research.","Indian Institute of Technology, Jodhpur is a school.",http://www.iitj.ac.in,Jodhpur,Rajasthan,India,https://www.twitter.com/abhishekiitj,https://www.linkedin.com/company/cdc-iit-jodhpur,,,,,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
PyKale,University of Sheffield,https://pykale.github.io/,logos/1514ccbb316a3ae5a772df0cb382bd6917c12793cc8174f0699d4fb19d1acec0.svg,http://twitter.com/sheffielduni,https://www.crunchbase.com/organization/university-of-sheffield,3235175.0,,,,MIT License,"Sheffield, Sheffield, United Kingdom","PyKale has a unified pipeline-based API and focuses on multimodal learning and transfer learning for graphs, images, and videos at the moment, with supporting models on deep learning and dimensionality reduction.","University of Sheffield is an educational institution that offers graduate, master's, and online courses.",http://www.sheffield.ac.uk/,Sheffield,Sheffield,United Kingdom,http://twitter.com/sheffielduni,https://www.linkedin.com/school/university-of-sheffield/,,funding,5001.0,10000.0,Training,Multimodal,True,https://github.com/pykale/pykale,475.0,"Knowledge-Aware machine LEarning (KALE): accessible machine learning from multiple sources for interdisciplinary research, part of the 🔥PyTorch ecosystem. ⭐ Star to support our work!",2025-09-08,https://github.com/pykale/pykale/commit/01742386e0830f137629255d5f274a161eaf2728,2023-07-13,https://github.com/pykale/pykale/releases/tag/0.1.2,2020-06-30,https://github.com/pykale/pykale/commit/84a289c58d4af5a5fde2d9ddfc6ecf6333899e4c,28.0,https://github.com/pykale/pykale/graphs/contributors,,,,,,,,,,,,,45.9
PyPose,Spatial.ai,https://pypose.org/,logos/8513a8257efd437369eb631ace0e7514cfdce3e6297154043bc263c67f49d128.svg,https://twitter.com/SpatialAI,https://www.crunchbase.com/organization/spatial-ai,2100000.0,,,,Apache License 2.0,"Cincinnati, Ohio, United States",PyPose is a library for Robot Learning with Physics-based Optimization,"Spatial supply comprehensive social understanding of location - categorized, quantified, and delivered to power any application or analysis.",http://spatial.ai,Cincinnati,Ohio,United States,https://twitter.com/SpatialAI,https://www.linkedin.com/company/spatial/,,funding,1.0,10.0,Modeling,Specialized,True,https://github.com/pypose/pypose,1452.0,A library for differentiable robotics on manifolds.,2025-03-28,https://github.com/pypose/pypose/commit/70da60d58529f649dfc33ff44af8fba2662d37f1,2025-03-28,https://github.com/pypose/pypose/releases/tag/v0.7.3,2021-11-11,https://github.com/pypose/pypose/commit/f10103ef932bb56d93b09a815a5e7158b8400a3c,48.0,https://github.com/pypose/pypose/graphs/contributors,,,,,,,,,,,,,18.04
PyPOTS,Concordia University,https://pypots.com/,logos/9b443ae59bd33bdee86bbe1d3190c727ce938845d8696ac8e76bd7c662c822a2.svg,http://twitter.com/Concordia,https://www.crunchbase.com/organization/concordia-university,125670035.0,,,,"BSD 3-Clause ""New"" or ""Revised"" License","Montréal, Quebec, Canada",a Python toolbox for machine learning on Partially-Observed Time Series,"Concordia University is a public research university offering programs in arts, science, engineering, and business.",http://www.concordia.ca/,Montréal,Quebec,Canada,http://twitter.com/Concordia,http://www.linkedin.com/company/concordia-university,,funding,5001.0,10000.0,Modeling,Specialized,True,https://github.com/WenjieDu/PyPOTS,1770.0,"A Python toolkit/library for reality-centric machine/deep learning and data mining on partially-observed time series, including SOTA neural network models for scientific analysis tasks of imputation/classification/clustering/forecasting/anomaly detection/cleaning on incomplete industrial (irregularly-sampled) multivariate TS with NaN missing values",2025-09-19,https://github.com/WenjieDu/PyPOTS/commit/064a940297712d1e883ca7c011bfad8a3c5dd522,2025-07-08,https://github.com/WenjieDu/PyPOTS/releases/tag/v1.0,2022-03-29,https://github.com/WenjieDu/PyPOTS/commit/2e38d0f2f1327460649577f62aba4737b6edc5c2,21.0,https://github.com/WenjieDu/PyPOTS/graphs/contributors,,,,,,,,,,,,,52.71000000000001
Pyro,Uber,https://pyro.ai/,logos/ed7e2a4d5d7f216c73dc8d10febb6720c12b706bd262296605f82b5f01801d60.svg,http://www.twitter.com/uber,https://www.crunchbase.com/organization/uber,35762450000.0,,,,Apache License 2.0,"San Francisco, California, United States",Deep universal probabilistic programming with Python and PyTorch,"Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",http://www.uber.com,San Francisco,California,United States,http://www.twitter.com/uber,https://www.linkedin.com/company/uber-com,UBER,funding,10001.0,,Training,Probabilistic & Optimization,True,https://github.com/pyro-ppl/pyro,8860.0,Deep universal probabilistic programming with Python and PyTorch,2025-07-09,https://github.com/pyro-ppl/pyro/commit/1bbbf38f3c263126c331f84d7c2e0fefbc2ad089,2024-06-02,https://github.com/pyro-ppl/pyro/releases/tag/1.9.1,2017-06-16,https://github.com/pyro-ppl/pyro/commit/058fdd38bb0692ad2c8b220dd721c277af755901,162.0,https://github.com/pyro-ppl/pyro/graphs/contributors,,,,,,,,,,,,,22.9
pystiche,Quansight,https://github.com/pystiche/pystiche,logos/b024259eacdf1948a9a6dcc2b94a9d67df1e249789ac8d44c6d822e4e7d0cdae.svg,https://twitter.com/quansightai,https://www.crunchbase.com/organization/quansight,1067277.0,,archived,,"BSD 3-Clause ""New"" or ""Revised"" License","Austin, Texas, United States",Framework for Neural Style Transfer (NST) built upon PyTorch,Quansight is a Provider of data science consulting services intended to connect organizations sustainably with open source communities.,https://www.quansight.com/,Austin,Texas,United States,https://twitter.com/quansightai,https://www.linkedin.com/company/quansight/,,funding,51.0,100.0,Modeling,Computer Vision,True,https://github.com/pystiche/pystiche,273.0,Framework for Neural Style Transfer (NST) built upon PyTorch,2022-03-18,https://github.com/pystiche/pystiche/commit/71217c24557dfba05da5795547bf6f3034e7c66f,2021-08-20,https://github.com/pystiche/pystiche/releases/tag/v1.0.1,2019-09-16,https://github.com/pystiche/pystiche/commit/b20aa1f102d6b08f239d15fdea3257f1e901ddd2,12.0,https://github.com/pystiche/pystiche/graphs/contributors,,,,,,,,,,,,,
PySyft,OpenMined,https://www.openmined.org/,logos/ddcdd70695dcc0780072851c60375522b8a616c35ffdec80717cf32b87d21310.svg,https://twitter.com/openminedorg,https://www.crunchbase.com/organization/openmined,,,,,Apache License 2.0,"Oxford, Oxfordshire, United Kingdom",Perform data science on data that remains in someone else's server,"OpenMined is a community focused on building open-source technology for the decentralized ownership of data and intelligence.
",https://www.openmined.org/,Oxford,Oxfordshire,United Kingdom,https://twitter.com/openminedorg,https://www.linkedin.com/company/openmined,,,1.0,10.0,Training,Privacy,True,https://github.com/OpenMined/PySyft,9784.0,Perform data science on data that remains in someone else's server,2025-04-13,https://github.com/OpenMined/PySyft/commit/73901fe937c221ae3f12b2fed3a280e3ee97fa8f,2025-02-13,https://github.com/OpenMined/PySyft/releases/tag/v0.9.5,2017-07-18,https://github.com/OpenMined/PySyft/commit/5857bbfc9b56564adfc7f0d88af0b2f3ec6ec3b4,517.0,https://github.com/OpenMined/PySyft/graphs/contributors,,,,,,,,,,,,,91.94000000000001
PyTorch,PyTorch Foundation,https://pytorch.org/,logos/4cbcf1c5a2dac51d806b8b77e75bc16928d68e7285f4976f51038c3daf19015e.svg,https://twitter.com/pytorch,https://www.crunchbase.com/organization/pytorch,,,foundation,,Other,"San Francisco, California, United States",PyTorch is an open source machine learning framework that accelerates the path from research prototyping to production deployment.,PyTorch Foundation is a non-profit organization dedicated to advancing the PyTorch framework and open source AI projects.,https://pytorch.org,San Francisco,California,United States,https://twitter.com/pytorch,https://www.linkedin.com/company/pytorch,,,11.0,50.0,PyTorch Projects,Foundation,True,https://github.com/pytorch/pytorch,93320.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration,2025-09-21,https://github.com/pytorch/pytorch/commit/0b59492853b7347ead6b71f52c76e7ac2836ea27,2025-08-06,https://github.com/pytorch/pytorch/releases/tag/v2.8.0,2012-01-25,https://github.com/pytorch/pytorch/commit/053065ba239e3421d1b2cbec55e3f177a21d6829,5913.0,https://github.com/pytorch/pytorch/graphs/contributors,2022-09-07,,,,,,,,,,,,11105.989999999998
PyTorch Geometric,Meta,https://pyg.org/,logos/5bf81a10e91e5b5336f31c52500e47e02dc3c860f3d66c7b4936161107dc12c9.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,MIT License,"Menlo Park, California, United States",Graph Neural Network Library for PyTorch,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,Graph,True,https://github.com/pyg-team/pytorch_geometric,22907.0,Graph Neural Network Library for PyTorch,2025-09-19,https://github.com/pyg-team/pytorch_geometric/commit/f4bca535e5601e8e5efaef20ae88ab4a8d4a0aa2,2024-09-26,https://github.com/pyg-team/pytorch_geometric/releases/tag/2.6.1,2017-10-06,https://github.com/pyg-team/pytorch_geometric/commit/9d5c3d5f81a6ad60b018917f699f13ff2e426cde,557.0,https://github.com/pyg-team/pytorch_geometric/graphs/contributors,,,,,,,,,,,,,361.42
PyTorch Geometric Temporal,Meta,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,logos/e178f77ad4a1b8ba7fa3e617cc445a8b47c1dd88a61972330752cc7ee6dbdd21.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,MIT License,"Menlo Park, California, United States",PyTorch Geometric Temporal is a Spatiotemporal Signal Processing with Neural Machine Learning Models,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Training,Graph,True,https://github.com/benedekrozemberczki/pytorch_geometric_temporal,2871.0,PyTorch Geometric Temporal: Spatiotemporal Signal Processing with Neural Machine Learning Models (CIKM 2021),2025-09-18,https://github.com/benedekrozemberczki/pytorch_geometric_temporal/commit/adefe44265ad8faf239fd6cf3b59b95ca3ee60aa,2025-03-28,https://github.com/benedekrozemberczki/pytorch_geometric_temporal/releases/tag/0.56.0,2020-06-27,https://github.com/benedekrozemberczki/pytorch_geometric_temporal/commit/60f225b695b2bb50a9ba90bc36a3365708ba5b14,39.0,https://github.com/benedekrozemberczki/pytorch_geometric_temporal/graphs/contributors,,,,,,,,,,,,,14.31
PyTorch Lightning,Lightning AI,https://lightning.ai/,logos/3e3486bfb4e2fa782678a99e6da800be65f30c9c9f887ef4131bfe7634797187.svg,https://twitter.com/PyTorchLightnin,https://www.crunchbase.com/organization/grid-ai,108500000.0,Premier,member,,Apache License 2.0,"New York, New York, United States","Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",Lightning AI is the first operating system for AI. Build AI models and Lightning Apps (end to end ML systems).,https://lightning.ai/,New York,New York,United States,https://twitter.com/PyTorchLightnin,https://www.linkedin.com/company/grid-ai/,,funding,11.0,50.0,Training,General,True,https://github.com/Lightning-AI/pytorch-lightning,30142.0,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.",2025-09-15,https://github.com/Lightning-AI/pytorch-lightning/commit/e088694d411790747af1a52a59a20e6efaa1bebd,2025-09-05,https://github.com/Lightning-AI/pytorch-lightning/releases/tag/2.5.5,2019-03-31,https://github.com/Lightning-AI/pytorch-lightning/commit/4a01c2be57401f88bcc2845ba015f2b3bdb2c928,1043.0,https://github.com/Lightning-AI/pytorch-lightning/graphs/contributors,,,,,,,,,,,,,299.73
PyTorch Metric Learning,Pento,https://kevinmusgrave.github.io/pytorch-metric-learning/,logos/64fe0aa1a6facd5730cee30d3904885e90f56c6cc79d9f9edda241ecf4585ff7.svg,https://twitter.com/pentohq,https://www.crunchbase.com/organization/pento,53967204.0,,,,MIT License,"London, England, United Kingdom","Modular, flexible, and extensible library for deep metric learning.","Pento makes payroll painless, empowering HR & Finance teams by streamlining automation, calculation, payments, compliance & reporting.",https://www.pento.io,London,England,United Kingdom,https://twitter.com/pentohq,https://www.linkedin.com/company/pento/,,funding,11.0,50.0,Training,Self supervised,True,https://github.com/KevinMusgrave/pytorch-metric-learning,6229.0,"The easiest way to use deep metric learning in your application. Modular, flexible, and extensible. Written in PyTorch.",2025-08-17,https://github.com/KevinMusgrave/pytorch-metric-learning/commit/c8350998ebc8aacf2c45de50e2556bc854cc0361,2025-08-17,https://github.com/KevinMusgrave/pytorch-metric-learning/releases/tag/v2.9.0,2019-10-23,https://github.com/KevinMusgrave/pytorch-metric-learning/commit/59fa79a7c6bb4de0e3d261f5f91ccb2e678fdb95,45.0,https://github.com/KevinMusgrave/pytorch-metric-learning/graphs/contributors,,,,,,,,,,,,,24.97
PyTorch-NLP,WellSaid Labs,https://pytorchnlp.readthedocs.io/en/latest/,logos/49a408722c78586e14156d60f6d32160a69da86afea96b933f3084dc4157c133.svg,https://www.twitter.com/wellsaidlabs,https://www.crunchbase.com/organization/wellsaid-labs,10000000.0,,archived,,"BSD 3-Clause ""New"" or ""Revised"" License","Seattle, Washington, United States",Basic Utilities for PyTorch Natural Language Processing (NLP),"WellSaid Labs is a developer of art text-to-speech technology that creates life-like synthetic voices, from the voices of real people.",https://wellsaidlabs.com,Seattle,Washington,United States,https://www.twitter.com/wellsaidlabs,https://www.linkedin.com/company/wellsaidlabs,,funding,51.0,100.0,Modeling,Language,True,https://github.com/PetrochukM/PyTorch-NLP,2224.0,Basic Utilities for PyTorch Natural Language Processing (NLP),2023-07-04,https://github.com/PetrochukM/PyTorch-NLP/commit/53d7edcb8e0c099efce7c2ddf8cd7c44157fcac3,2019-11-04,https://github.com/PetrochukM/PyTorch-NLP/releases/tag/0.5.0,2018-02-25,https://github.com/PetrochukM/PyTorch-NLP/commit/0cdbcfbe4a5508e902d60152001b29fb0f331fe4,18.0,https://github.com/PetrochukM/PyTorch-NLP/graphs/contributors,,,,,,,,,,,,,
PyTorch-Points3d,Fujitsu,https://torch-points3d.readthedocs.io/en/latest/,logos/7c3c77c9fbd88d4dae1e9d32ef70b0b115ad578cacb4f90dda36f4aaefc4cc0d.svg,http://twitter.com/Fujitsu_Global,https://www.crunchbase.com/organization/fujitsu,,,archived,,Other,"Tokyo, Tokyo, Japan",A framework for developing and testing common deep learning models to solve tasks related to unstructured 3D spatial data,Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,http://www.fujitsu.com,Tokyo,Tokyo,Japan,http://twitter.com/Fujitsu_Global,http://www.linkedin.com/company/1374,6702,,10001.0,,Modeling,3D,True,https://github.com/torch-points3d/torch-points3d,2642.0,Pytorch framework for doing deep learning on point clouds.,2024-06-06,https://github.com/torch-points3d/torch-points3d/commit/cf0061bd6db93b9d086b67a82babbdffa03646b4,2021-04-30,https://github.com/torch-points3d/torch-points3d/releases/tag/1.3.0,2019-12-01,https://github.com/torch-points3d/torch-points3d/commit/5cdc91104e50e668a58be5c7b5e165a6155f01c7,35.0,https://github.com/torch-points3d/torch-points3d/graphs/contributors,,,,,,,,,,,,,0.53
PyTorch3D,Meta,https://pytorch3d.org/,logos/88318438fc9c2bbc4989daf11182ed9ec9e685c4f9f97317d978d87f732f9e96.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Other,"Menlo Park, California, United States",PyTorch3D is a library of reusable components for deep learning with 3D data,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,3D,True,https://github.com/facebookresearch/pytorch3d,9515.0,PyTorch3D is FAIR's library of reusable components for deep learning with 3D data,2025-09-15,https://github.com/facebookresearch/pytorch3d/commit/7711bf34a86bef32556eee09bc8ca715f677cd6b,2024-09-13,https://github.com/facebookresearch/pytorch3d/releases/tag/V0.7.8,2020-01-23,https://github.com/facebookresearch/pytorch3d/commit/dbf06b504b525c7f6680c5709b63df6413616d2e,167.0,https://github.com/facebookresearch/pytorch3d/graphs/contributors,,,,,,,,,,,,,71.86
pytorchfi,Meta,https://pytorchfi.dev/,logos/4940f3cf2023e817b489c95cca20b0effbac6407db28e7f6eabe7cd4177aa5e5.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,Other,"Menlo Park, California, United States",A runtime fault injection tool for PyTorch,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Adversarial & Robustness,True,https://github.com/pytorchfi/pytorchfi,118.0,A runtime fault injection tool for PyTorch :fire:,2023-04-03,https://github.com/pytorchfi/pytorchfi/commit/1acb34294c5aaa2618e892be6a7c1d31ae9b8cfe,2021-11-15,https://github.com/pytorchfi/pytorchfi/releases/tag/v0.6.0,2019-04-30,https://github.com/pytorchfi/pytorchfi/commit/3f3c466b70dc3215f814f74bba5348e2a0fc7d2e,6.0,https://github.com/pytorchfi/pytorchfi/graphs/contributors,,,,,,,,,,,,,0.77
PyTorchVideo,Meta,https://pytorchvideo.org/,logos/ad52117a8e14a31993e1549cd32f76e6d4ddb403826679eee528774a7404729a.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,archived,,Apache License 2.0,"Menlo Park, California, United States",A deep learning library for video understanding research.,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Modeling,Specialized,True,https://github.com/facebookresearch/pytorchvideo,3481.0,A deep learning library for video understanding research.,2025-01-25,https://github.com/facebookresearch/pytorchvideo/commit/6cdc929315aab1b5674b6dcf73b16ec99147735f,2021-09-10,https://github.com/facebookresearch/pytorchvideo/releases/tag/0.1.3,2021-04-13,https://github.com/facebookresearch/pytorchvideo/commit/4feccb607d7a16933d485495f91d067f177dd8db,58.0,https://github.com/facebookresearch/pytorchvideo/graphs/contributors,,,,,,,,,,,,,2.9200000000000004
PyTorchXLA,Meta,https://pytorch.org/xla/release/2.1/index.html,logos/ddd0bb26a66bfbab3bcc2e87525da660424ba839e2e4ed1086c4988ca452b036.svg,https://x.com/Meta,https://www.crunchbase.com/organization/facebook,54608817488.0,Premier,member,,Other,"Menlo Park, California, United States","PyTorch runs on XLA devices, like TPUs, with the torch_xla package.","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",https://www.meta.com,Menlo Park,California,United States,https://x.com/Meta,https://www.linkedin.com/company/meta,META,funding,10001.0,,Optimizations,Compilers & Runtimes,True,https://github.com/pytorch/xla,2680.0,Enabling PyTorch on XLA Devices (e.g. Google TPU),2025-09-17,https://github.com/pytorch/xla/commit/0c0ae2d22d5eec52b9c69da831185a92bbb37d1c,2025-08-13,https://github.com/pytorch/xla/releases/tag/v2.8.0,2018-11-12,https://github.com/pytorch/xla/commit/f1a5910fcda59af4742875cbadd2d9e669091b64,256.0,https://github.com/pytorch/xla/graphs/contributors,,,,,,,,,,,,,627.41
